Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
1,2011,0.57143,0.00000,0.50000,0.50000,0.25000,0.25000,1.00000,1.00000,0.70000,2.50000,2.00000,2.50000,3.00000,2.50000,30.35000,0.00000,51445454031000.00000,5081927221908.00000,0.22000
1,2012,0.54762,0.00000,0.25000,0.25000,0.50000,1.00000,1.00000,0.83330,0.50000,2.35294,1.66667,2.83333,3.00000,2.50000,55.82524,0.00000,64973358794476.80000,4857941715510.40000,0.14100
1,2013,0.52381,0.00000,0.50000,0.25000,0.25000,1.00000,1.00000,0.66670,0.50000,2.23529,1.83333,2.33333,3.00000,2.50000,15.36585,0.00000,82121950874600.00000,8308451184616.70000,0.07400
1,2014,0.52381,0.00000,0.50000,0.25000,0.25000,1.00000,1.00000,0.66670,0.50000,2.17647,1.50000,2.50000,3.00000,2.50000,29.37500,0.00000,80175000000000.00000,9315600000000.00000,0.05600
2,2011,0.48810,0.00000,0.50000,0.75000,0.00000,1.00000,1.00000,0.16670,0.30000,2.26458,1.83333,2.00000,3.00000,2.22500,0.00000,0.00000,2301384000000.00000,359163000000.00000,0.05690
2,2012,0.73810,0.00000,1.00000,1.00000,1.00000,0.66700,1.00000,0.50000,0.50000,2.17647,1.83333,2.16667,3.00000,2.50000,0.00000,1.00000,2903932019669.00000,152631066953.80000,-0.07730
2,2013,0.45238,0.00000,1.00000,0.00000,0.00000,0.66670,1.00000,0.50000,0.60000,2.41176,1.83333,2.66667,3.00000,2.75000,0.00000,1.00000,3855817056976.30000,22475609661.70000,-0.07990
2,2014,0.78571,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.40000,2.29412,1.83333,2.33333,3.00000,2.75000,0.00000,1.00000,4239362500000.00000,52750000000.00000,-0.22930
3,2011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.77083,1.83333,2.00000,1.00000,2.25000,0.00000,1.00000,111660087000.00000,3469378000.00000,-0.64310
3,2012,0.19444,0.00000,0.00000,0.00000,0.00000,1.00000,0.50000,0.16670,0.30000,2.05882,2.00000,2.33333,1.00000,2.00000,0.00000,1.00000,150829601.00000,2807016.00000,-0.38200
3,2013,0.19048,0.00000,0.00000,0.00000,0.00000,0.66670,0.50000,0.16670,0.20000,2.11765,2.16667,2.33333,1.00000,2.00000,0.00000,0.00000,1489339945000.00000,30159881.00000,0.01200
3,2014,0.48810,0.00000,0.25000,0.00000,0.50000,1.00000,1.00000,0.66670,0.40000,2.05882,2.00000,2.00000,1.00000,2.50000,0.00000,1.00000,150829601000.00000,3185917000.00000,-0.36100
4,2011,0.40476,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.83330,0.60000,2.08333,2.66667,2.16667,1.00000,2.50000,3.55000,0.00000,18718181631000.00000,4729745407248.00000,0.30730
4,2012,0.48611,0.00000,1.00000,0.25000,0.00000,1.00000,1.00000,0.66670,0.60000,2.41176,2.33333,2.00000,3.00000,3.00000,7.76699,1.00000,20854368794400.00000,3534436869876.60000,-0.74090
4,2013,0.72143,0.80000,1.00000,0.25000,0.00000,1.00000,1.00000,1.00000,0.60000,2.41176,2.16667,2.33333,3.00000,2.75000,0.00000,1.00000,24402707214581.80000,4977426808363.10000,-2.03000
