,Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE,BRD_INDP_DIV,BRD_MEET_DIV,BRD_SIZE_DIV,BRD_COMPT_DIV,BRD_EFFC_DIV
0,1,2011,0.57143,0,0.5,0.5,0.25,0.25,1,1,0.7,2.5,2,2.5,3,2.5,30.35,0,13.7113470044,12.7060284412,0.22,60.7,75.875,91.05,75.875,75.875
1,1,2012,0.54762,0,0.25,0.25,0.5,1,1,0.8333,0.5,2.35294,1.66667,2.83333,3,2.5,55.82524,0,13.8127353182,12.6864522999,0.141,93.0422527508,158.171327249,167.47572,139.5631,131.353440206
2,1,2013,0.52381,0,0.5,0.25,0.25,1,1,0.6667,0.5,2.23529,1.83333,2.33333,3,2.5,15.36585,0,13.9144592578,12.9195200726,0.074,28.1706737805,35.8535987805,46.09755,38.414625,34.3471308465
3,1,2014,0.52381,0,0.5,0.25,0.25,1,1,0.6667,0.5,2.17647,1.5,2.5,3,2.5,29.375,0,13.9040389686,12.9692108322,0.056,44.0625,73.4375,88.125,73.4375,63.93380625
4,2,2011,0.4881,0,0.5,0.75,0,1,1,0.1667,0.3,2.26458,1.83333,2,3,2.225,0,0,12.3619890894,11.5552915905,0.0569,0,0,0,0,0
5,2,2012,0.7381,0,1,1,1,0.667,1,0.5,0.5,2.17647,1.83333,2.16667,3,2.5,0,1,12.4629864454,11.1836429401,-0.0773,0,0,0,0,0
6,2,2013,0.45238,0,1,0,0,0.6667,1,0.5,0.6,2.41176,1.83333,2.66667,3,2.75,0,1,12.5861164202,10.351711481,-0.0799,0,0,0,0,0
7,2,2014,0.78571,0,1,1,1,1,1,0.5,0.4,2.29412,1.83333,2.33333,3,2.75,0,1,12.6273005539,10.722222464,-0.2293,0,0,0,0,0
8,3,2011,0,0,0,0,0,0,0,0,0,1.77083,1.83333,2,1,2.25,0,1,11.0478979619,9.5402516202,-0.6431,0,0,0,0,0
9,3,2012,0.19444,0,0,0,0,1,0.5,0.1667,0.3,2.05882,2,2.33333,1,2,0,1,8.1784865822,6.4482448881,-0.382,0,0,0,0,0
10,3,2013,0.19048,0,0,0,0,0.6667,0.5,0.1667,0.2,2.11765,2.16667,2.33333,1,2,0,0,12.1729938377,7.4794296236,0.012,0,0,0,0,0
11,3,2014,0.4881,0,0.25,0,0.5,1,1,0.6667,0.4,2.05882,2,2,1,2.5,0,1,11.1784865822,9.5032344573,-0.361,0,0,0,0,0
12,4,2011,0.40476,0,0,0,0,1,1,0.8333,0.6,2.08333,2.66667,2.16667,1,2.5,3.55,0,13.2722636571,12.6748377642,0.3073,9.4666785,7.6916785,3.55,8.875,7.3958215
13,4,2012,0.48611,0,1,0.25,0,1,1,0.6667,0.6,2.41176,2.33333,2,3,3,7.76699,1,13.3191970495,12.5483202289,-0.7409,18.1229507767,15.53398,23.30097,23.30097,18.7321158024
14,4,2013,0.72143,0.8,1,0.25,0,1,1,1,0.6,2.41176,2.16667,2.33333,3,2.75,0,1,13.3874380093,12.6970048826,-2.03,0,0,0,0,0
15,4,2014,0.80476,0.8,1,1,0,1,1,0.83333,0.6,1.66667,1.66667,1.5,1,2,0,1,13.3456187486,12.6277011786,-2.02,0,0,0,0,0
16,5,2011,0.77619,0.6,1,0,1,1,1,0.8333,0.6,2.10417,2.16667,2.5,1,2.75,0,0,13.2406593298,12.0508361992,0.04726,0,0,0,0,0
17,5,2012,0.675,0.8,0.5,0.25,1,1,1,0.5,0.7,2.52941,2.33333,2.83333,1,2.75,0,1,13.2853840191,12.0537505376,-0.04,0,0,0,0,0
18,5,2013,0.7881,0.6,0.75,0.75,0.75,1,1,0.6667,0.6,2.4,2.5,2.5,1,2.5,0,1,13.3844073925,12.1527925385,0.04,0,0,0,0,0
19,5,2014,0.68095,0.6,0.75,0,0.75,1,1,0.6667,0.6,2.35294,2.16667,2.5,1,2.75,0,1,13.367246593,10.8946206959,-0.125,0,0,0,0,0
20,6,2011,0.64286,0,1,1,0,1,1,0.5,0.5,2.45833,2,2.33333,3,2.5,80,0,13.1579460937,12.1841219331,0.285,160,186.6664,240,200,196.6664
21,6,2012,0.64286,0,1,1,0,1,1,0.5,0.5,2,2,1.5,3,2.5,200,0,26.5576476762,26.6045810686,0.078,400,300,600,500,400
22,6,2013,0.58095,0.4,0.75,0,0.75,0.6667,1,0.5,0.5,1.94118,1.83333,1.5,3,2.5,200,0,13.3670159581,12.2702223055,0.078,366.666,300,600,500,388.236
