Perusahaan,Tahun,TOBINQ,PDEBT,SIZE,LEV,LIQ,INTCOV,PROF,DR,GROWTH,FIRMAGE,y1,y2,y3,y4,y5,i1,i2,i3,i4,i5,i6,i7,i8,LogTobinsQ,LnTobinQ,Total Assets,LogAssets,MarkCap,LogMarkCap,LogAge,InterestExp,TotalDebt,AveInterestRate,FreeCashFlow
1,2009,4.876947614,0,9.873838075,0.153068243,1.825846454,82.668,0.338424229,0,0.191188563,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0.688148091,1.584519535,7478906000,9.873838075,41258319000,10.61551153,1.322219295,30616961.82,1144783000,0.026744773,7478906000
1,2010,3.55771631,0,9.941188722,0.152807097,1.931697638,100.783407,0.339387105,1,0.218105139,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0.551171315,1.269118853,8733508000,9.941188722,34171966500,10.53366997,1.342422681,29410000,1334542000,0.022037523,8733508000
1,2011,2.598894311,0,10.00453125,0.175987904,1.30967174,129.2936613,0.329833837,1,0.073495565,23,0,0,1,0,0,1,0,0,0,0,0,0,0,0.414788618,0.95508609,10104882000,10.00453125,31022476500,10.49167646,1.361727836,25778000,1778337000,0.014495565,10104882000
1,2012,2.856730363,0,10.09028571,0.078951105,0.684625116,121.732,0.288697211,1,0.096043701,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0.455869251,1.049677741,12310784000,10.09028571,39526099500,10.59688396,1.380211242,29196012.55,971950000,0.030038595,12310784000
1,2013,2.321762861,0,10.16994759,0.184115555,0.450006584,36.975,0.181042049,1,0.286456196,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0.36581786,0.842326751,14789299000,10.16994759,38187566250,10.58192198,1.397940009,72413387.42,2722940000,0.026593824,14789299000
2,2009,2.337986467,0,8.351821342,0.044700106,2.161076643,4.275,0.032308373,0,0.204353531,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0.368841993,0.849290075,224812959,8.351821342,771435000,8.887299339,1.255272505,1699027.135,10049163,0.169071507,224812959
2,2010,1.110633066,1,8.591099075,0.360104988,1.23223619,1.578,0.017882993,0,0.395927284,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0.045570599,0.104930182,390030954,8.591099075,327859875,8.515688269,1.278753601,4420102.028,140452092,0.031470532,390030954
2,2011,0.818009121,1,8.618751954,0.321888618,0.815595761,1.514,0.034149152,0,0.066053311,20,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.087241854,-0.200881792,415673132,8.618751954,220410000,8.343231295,1.301029996,9375749.67,133800450,0.070072632,415673132
2,2012,0.795268209,1,8.634459547,0.30659614,0.821083434,0.836,0.026157381,0,0.019006193,21,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.099486378,-0.229075851,430982412,8.634459547,275512500,8.440141308,1.322219295,13484893.54,132137544,0.102051946,430982412
2,2013,0.480953955,1,8.62774127,0.14603603,0.885908288,3.229,0.085526846,0,0.183128615,22,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.3178965,-0.731983742,424366673,8.62774127,168062625,8.225471143,1.342422681,11240242.49,61972824,0.181373734,424366673
